;text;queja;;;
87;Que puto asco de país. https://t.co/WNEjvel710;0;;;
88;#ChiringuitoClásico;;;;
Jajajajajj sigo sin veros pq dais asco;" pero me parto con la medicina tacto rectal que os ha metido Messi hoy jajjajjaj""";0;;;
89;El munuera este nos tiene una manía el puto payaso...!!que asco que arbitros tan penosos estén pitando,y yo en el puto paro...;0;;;
90;La gente quiere en serio a Susana Diaz como secretaria general del PsoE? Poca gente me da tanto asco. https://t.co/bBZCisQZUu;0;;;
91;Asco.;;;;
"Feliz domingo https://t.co/X0asJ2PB6a""";0;;;;
92;Que asco es viajar en bus;0;;;
93;Significa desconfianza, y eso da asco, tanto en un sexo como en otro https://t.co/NoyhBGYws7;0;;;
94;Mi total apoyo y solidaridad para #ItziarItuño ante el vomitivo ataque que esta sufriendo por parte de los fascistas.;0;;;
95;Esque si yo me quedo encerrada en un ascensor me entraría tal ataque de risa que no podría con mi vida y ya veis Dani como se reía eh;0;;;
96;@albalopez_86 Ya sabes, al ataque <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B9><U+008C>;0;;;
97;@BetEuropa A partir del gol el madrid jugando a medio gas pudo meter 2-3 mas, en cuanto le hizo falta ir al ataque en 3 min tenían el gol;0;;;
98;Vamos al ataque joder!!!!!;0;;;
99;"""...video sobre el supuesto ataque químico del gobierno sirio contra sus propios habitantes, en su mayoría... https://t.co/mpU0HBDYkg";0;;;
100;@ACAB_85 Bueno, la noche es larga... Esperemos que no salga impune ese ataque a un chaval que no hacia nada. Estarás de acuerdo, no?;0;;;
101;Acaba de literalmente darme un ataque de risa con el pelillo de este Zuko https://t.co/kk07dY2dDR;0;;;
102;Bueno por lo menos me quedé con la cartera de uno de ellos. No te salió gratis el ataque machista payaso,;0;;;
103;masivo;;;;
[..];;;;;
 2. adj. Perteneciente o relativo a las masas humanas;" o hecho por ellas. Emigración masiva. Ataque masivo. Manifestación masiva""";0;;;
104;@GPdelVerano_OF @ArrateAgirre6 @tve_tve @EuroTVprod @valerioboserman Me ha dado un pequeño ataque al corazón señores;0;;;
105;@ACBCOM @Baskonia @cskabasket @EuroLeague 5 ataque de shengelia???? Por favor como? Van 5 https://t.co/pZptbZsjbK;0;;;
106;Firmo ya acabar 2 arriba como ahora en descanso. Seguir dominio rebote, más pases delante y parar el ataque ruso más arriba y su 2x2 inicial;0;;;
107;4:30 minutos de Larkin en la primera parte y el Baskonia sin demasiadas ideas en ataque. Naide crea. Se equivoca Sito ahí, en mi opinión.;0;;;
108;Me ha dado un ataque de pánico antes de la tutoría del tfg y al final no he entrado y le he dado plantón a la tutora.;0;;;
109;Adrian Peterson a los Saints. No será la mejor opción para optar al anillo, pero qué pinta tiene ese ataque y esa división. #NFLesp;0;;;
110;Eso no es falta en ataque de Harden?;0;;;
111;"El día en que murió Gernika: ""El ataque concentrado ha sido un gran éxito"" https://t.co/nsvV0YLq90";0;;;
112;ESCÁNDALO: Lilian Tintori simulando un ataque de gas lacrimógeno para que la graben las cámaras https://t.co/2xxPbNwHLi;0;;;
113;@TikotDeRoa No es eso falta en ataque?;0;;;
114;Es horrible pero genial:;;;;
"El ataque de los tomates asesinos https://t.co/EuUsVDqyMt""";0;;;;
115;@RataUnderground no, pero he dibujado un atasco XDDD;0;;;
116;@vueling VY3945 pmi-bio a las 12:40, he sufrido un atasco y he llegado más tarde de lo previsto. El avión y el pers… https://t.co/1fYETx810W;0;;;
117;Horarios de la web: tienes un autobús para subir a la uni a las ocho y media ;;;;
"Autobús: lol no""";0;;;;
118;Hola @ALSA_Autobuses me recuerdan? Otra vez 4 horitas en las que no me entran las rodillas por otro autobús que no es ALSA.;0;;;
119;@ALSA_Autobuses Los clientes preferimos calidad a cantidad. En una hora de viaje sin poder sentarme por culpa del p… https://t.co/MxqhorqzM8;0;;;
120;@ALSA_Autobuses En autobús ALSA normal me entran las piernas, razón para viajar con vosotros. Un viaje hasta Madrid… https://t.co/pbyUwwQb9B;0;;;
121;Si yo contrato y viaje con @ALSA_Autobuses quiero ir en un autobús de la compañía, no una subcontrata como Rubimar, que no hay espacio.;0;;;
122;Recordamos al @guardiacivil  Rufino Muñoz Alcalde asesinado en un autobús en el alto de Gaintxurizketa por ETA-m, 2… https://t.co/1wuo0gwlSr;0;;;
123;@vitoriagasteiz de verdad no tengo autobús hasta las 00:30? Esto es surrealista;0;;;
124;El autobús del Pao ha llegado ya a Atenas? #MinutoyResultado;0;;;
125;_ iquest;;;;
126;@Josebasanchez Que llamen a bou, que seguro que lo del autobús no le ha hecho gracia..;0;;;
127;¿Cuanta credibilidad le dais a la noticia de que el Panathinaikos tenga que regresar a Atenas en autobús?;0;;;
128;Así se las gasta el Dimitris Giannakopoulos, a saber como era el autobus y las carreteras por las que fue. https://t.co/TF4GOyLUHE;0;;;
129;.@BusesLaUnion operará el servicio de autobuses entre Vitoria y Aeropuerto desde el 1 de mayo, con un precio de 3€: https://t.co/DIZX2hNfkh;0;;;
130;#Gasteiz TUVISAren 10 autobus berrietako batek dagoeneko irudi berria du https://t.co/aknFan768f https://t.co/ufO3w3p9uS;0;;;
131;Autobuses Vitoria-Foronda por 3€ https://t.co/YPyEjLTsqP;0;;;
132;El servicio de autobuses entre Vitoria y el Aeropuerto de Foronda tendrá un precio de 3€ a partir del 1 de mayo: https://t.co/DIZX2hNfkh;0;;;
133;#Euskadi El autobús que conecta Vitoria con Foronda costará 3 euros y únicamente podrá ser utilizado por viajeros…… https://t.co/ALjqinfYP1;0;;;
134;Los billetes de autobús a Foronda costarán 3€ https://t.co/3i2C1AYoyg;0;;;
135;¿Vas a volar con Ryanair desde Foronda? Conoce horarios y precios del autobús https://t.co/YPyEjLTsqP;0;;;
136;Servicios especiales de autobús a Armentia por San Prudencio https://t.co/F1PxkUJjT2 https://t.co/lVj5aUON6i;0;;;
137;Los habitantes de #Vitoria_Gasteiz generamos grandes cantidades de #basura a lo largo del año. Pero lo más... https://t.co/D7num1ueYf;0;;;
138;Vaya puta basura de final... Pero bueno, aquí todo funciona así. #SeQuienEresFinal;0;;;
139;Pieter Lossie ha hecho este vídeos sobre la basura en los océanos a los 15 años. Venga, va, que hay esperanza.… https://t.co/C3MwFgmtFr;0;;;
140;@Doraemonger1 @JhoxFaik Joder pues si quito toda la basura de mi tele con qué me quedo?;0;;;
141;Los hombres no sabéis lo que es sentirte una mierda y una basura por hacer X cosa y ser juzgada y tachada de puta o zorra.;0;;;
142;Por que no jugue las rankeds al principio ahora solo queda basura en plata ...;0;;;
143;Olee, estoy en otra lista!. Etarras de salón, basura y ahora esta.;;;;
"Gracias @solidatus https://t.co/etJAyW3ItF""";0;;;;
144;<ed><U+00A0><U+00BD><ed><U+00B3><U+00B9> Cuando bajas la basura sin la basura https://t.co/1WkMRMrcwn;0;;;
145;Es más grande que los EEUU, pero no se ve. ¿Cómo es realmente la Gran Isla de Basura del Pacífico?… https://t.co/DXxoPVAb2Z;0;;;
146;Cada momento cuenta y a veces es una historia.Pero los nuevos momentos nacen de los viejos.;;;;
"Y los viejos hay que ec… https://t.co/d9z8hGL1r0""";0;;;;
147;Por qué le queda bien una bolsa de basura https://t.co/bdNtOomPp0;0;;;
148;Y luego quieren esto y lo otro. Señores, si los niños aprenden con esa BASURA, la sociedad va hacia atrás. Y es así https://t.co/JJ4vgvneWQ;0;;;
149;Es más grande que los EEUU, pero no se ve. ¿Cómo es realmente la Gran Isla de Basura del Pacífico? https://t.co/cnTiOy5rOy;0;;;
150;Hace falta ser basura muy cobarde para hacer algo asi... #AscoAsko #FaxistakKanpora https://t.co/6lNkatbKi6;0;;;
151;@Blueberryme88 @cookiesdf en esa peli no dejaban de tirar cosas al cielo: niñeras, viejos, banqueros, cometas...Luego que si basura espacial;0;;;
152;La justicia de hoy en dia es una puta basura! Es como poner marionetas al mando... Puta España!;0;;;
153;PSOE y Ciudadanos no respaldan la moción de censura a un partido más que podrido. Todavía duda alguien que son todos la misma basura?;0;;;
154;@AntonioGoBe @VeganaMutante Has tratado de incauta a la que le pasa nudes a su novio. No has calificado a la basura q los difunde todavia;0;;;
155;En dibujo artístico en selectividad saqué un 5,5 o sea una basura y luego en la carrera nunca he bajado de ocho en las asignaturas de dibujo;0;;;
156;Ya era hora de que alguien levantara la voz ante esta basura televisiva. Yo por cierto hace tiempo que deje de verlo https://t.co/9rSBkTxr0w;0;;;
157;Y el desembarco de Normandia...... GG. Gracias. Espero que por lo menos la campaña sea muy buena! No como la basura de BF1.;0;;;
158;@EuroLeague Sois la mayor basura y mierda que ha habido en el mundo. Dais mucho asco. Escoria, sinvergüenzas;0;;;
159;El Ayuntamiento limpia los jardines de Paseo de Estrasburgo tras la denuncia en Gasteiz Hoy https://t.co/Rqqr2xwexv https://t.co/PbGZbDvOYs;0;;;
160;Se podria hacer una organización con vuestra basura de servicio, vergüenza de trabajar en un sitio asi https://t.co/GOxF9eBptV;0;;;
161;Acumulación de basura en el paseo de Estrasburgo https://t.co/MOgBLpucwa;0;;;
162;Estos jardines de Salburua son una acumulación de suciedad https://t.co/Rqqr2xwexv;0;;;
163;Me ha gustado un vídeo de @YouTube (https://t.co/pehAjEsfFi - MIS PRIMEROS VÍDEOS ERAN BASURA).;0;;;
164;Me ha gustado un vídeo de @YouTube (https://t.co/PnfF7tUpsI - MIS PRIMEROS VÍDEOS ERAN BASURA).;0;;;
165;Me ha gustado un vídeo de @YouTube (https://t.co/MBoNz96DOs - MIS PRIMEROS VÍDEOS ERAN BASURA).;0;;;
166;Me ha gustado un vídeo de @YouTube (https://t.co/YGgyn9Ujq2 - MIS PRIMEROS VÍDEOS ERAN BASURA).;0;;;
167;Me ha gustado un vídeo de @YouTube (https://t.co/1WnG6la10G - MIS PRIMEROS VÍDEOS ERAN BASURA).;0;;;
168;"No soporto lo de ""animación 3d basura animacion 2d Arte""";;;;
"Son dos formas de animar diferentes joder aprended a ver el lado bonito de ambas.""";0;;;;
169;"Con lo de retuitear me refiero a retuitear dibujitos de la gente no a retuitear mierdas del tipo ""batalla épica rt chocolate fav basura""";0;;;
170;el ayuntamiento de @vitoriagasteiz ya ha publicado el programa de la semana de la bici 2017, que comienza el 15/mayo https://t.co/p7qUDTt98f;0;;;
171;"Vitoria organiza el concurso de fotos “UN SELFIE CON MI BICI"" #vitoriagasteiz https://t.co/nPm0mIUG2P https://t.co/GslhhwvUjm";0;;;
172;Gobert en la bici a lo Bargnani xD;0;;;
173;A ver el tiempo de hoy que cojones, acaba de empezar una tormenta justo cuando estoy volviendo a casa en bici toma;0;;;
174;@bizieskola tb está presente del 27 al 30 abril en #Zaragoza #LaCiudadDeLasBicis  #Bicicleta #Bici #Bike;0;;;
175;<ed><U+00A0><U+00BD><ed><U+00BA><U+00B2>  Una marca de coches paga un plus a los empleados que se desplacen en #bici al trabajo vía @ciclosfera ;;;;
"https://t.co/jXqqDJ1Eew""";0;;;;
176;https://t.co/2oSBwf8KdS : En bici por la ciudad, con casco, mochila. . . Disfrutando de la ciudad, la compañía <ed><U+00A0><U+00BD><ed><U+00B8><U+0083><ed><U+00A0><U+00BD><ed><U+00B8><U+0083>… https://t.co/whCOI4mJF3;0;;;
177;Ocupación puntual de carril en c/ Beato Tomás de Zumárraga, 14 y corte de carril bici https://t.co/dSPCBeA52J;0;;;
178;@joseluisdelcamp Como bien dices Jose Luis, ha hecho el triple de km en la bici que en la cancha. Muy triste su pas… https://t.co/P2kciNVKQj;0;;;
179;descomplicada en una bici que me lleva a todos lados https://t.co/geSE67jhAg;0;;;
180;@Juliaenlaonda a mi me jodería un huevo que alguien me obligara a prestar mi bici a un extraño. Ni loco. A mis niños, les pido que negocien;0;;;
181;Después de hacer la ruta en bici nos gusta disfrutar recordar el recorrido.....;;;;
"Pues desde este enlace lo puedes... https://t.co/Li9gBTOvcg""";0;;;;
182;La primavera ha llegado a mi bici #crochet #ganchillo #bici https://t.co/L2ovMIQDqP;0;;;
183;@roberlemon @DGTes @roman_mendoza @ciclo21 Amigos, y no solo en bici. A mi ayer corriendo a pie casi me atropella u… https://t.co/fdpoSCcveg;0;;;
184;@TheNatural_93 @AndreaBargnani un video de sus mejores momentos en la bici por favor! con la bicicleta sonando de f… https://t.co/Nx6ewDzKgj;0;;;
185;Odio absoluto y eterno a esas personas que teniendo la acera entera, se ponen a caminar por el carril bici;0;;;
186;En mi opinión, con un desafortunado modelo de aparcabicis, donde que te tiren la bici es doblar la llanta, lo digo… https://t.co/YWY94rBpcd;0;;;
187;Acceso desde las dársenas al aparcabicis de la estación de Bus. Con clave de acceso y giratoria para solo salir con… https://t.co/j4M0OokLnH;0;;;
188;@achamiann @iruri @Iker3D @Asierurbina Es lo q tiene las conversaciones en mi caso encima de una bici estática mien… https://t.co/KcKI5BfjGk;0;;;
189;@Carreraander48 El día que aprendas a escribir bien iré en bici<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> débil********;0;;;
190;Luces necesarias en bici;;;;
Reflectante (catadióptrico) trasero de color rojo;;;;;
Luz de posición blanca (delantera);;;;;
"Luz d… https://t.co/U4t9MslwKU""";0;;;;
191;@peiogg es el día, por primera vez en dos años que llevo con la bici de carretera que no voy a salir e iré a correr. Porque me da miedo;0;;;
192;Me da que mañana voy a terminar endo a clase en bici porque me voy a quedar dormida;0;;;
193;@Chalber @DCELE007 @mieresracing @CircuitoNavarra Bah, yo en bici OS quito las pegatinas....;0;;;
194;Con el sprint que me he pegado con la bici delante de un perro podría haber generado electricidad para todos los pueblos d alrededor... <ed><U+00A0><U+00BD><ed><U+00B8><U+00B0>;0;;;
195;Bici, moto... Dudas de domingo. Aunque lo de las dos ruedas está claro.;0;;;
196;y después de dar de desayunar a las plantas, dundando entre bici y libros. El campo estará ahí cada domingo, pero y los libros?;0;;;
197;Tiene 21.500 millones de euros y obliga a sus hijos a coger el bus @elmundoes https://t.co/CEemBBIJ9D https://t.co/ZjtDS9umbb;0;;;
198;Estoy viendo que enfrente de la Marquesina de Antonio Amatz han pintado las letras de parada de Bus quisiera saber… https://t.co/hbp3AiyTLQ;0;;;
199;"@AriieSiiS es que me tenías que ver en el bus a lo ""nihongo es como se puto dice japonés en japones jfc do ur research kiddo""(?)";0;;;
200;Correr para coger un bus y darte cuenta que esta fuera de servicio y que ademas tienes que esperar 20 mins porque es dia festivo <ed><U+00A0><U+00BD><ed><U+00B8><U+0083><ed><U+00A0><U+00BD><ed><U+00B8><U+0083><ed><U+00A0><U+00BD><ed><U+00B8><U+0083><ed><U+00A0><U+00BD><ed><U+00B8><U+0083><ed><U+00A0><U+00BD><ed><U+00B8><U+0083><ed><U+00A0><U+00BD><ed><U+00B8><U+0083><ed><U+00A0><U+00BD><ed><U+00B8><U+0083><ed><U+00A0><U+00BD><ed><U+00B8><U+0083><ed><U+00A0><U+00BD><ed><U+00B8><U+0083><ed><U+00A0><U+00BD><ed><U+00B8><U+0083><ed><U+00A0><U+00BD><ed><U+00B8><U+0083>;0;;;
201;HOY: Servicios especiales de bus para ir a Armentia #vitoriagasteiz https://t.co/rm2pcbAJBI… https://t.co/kwwv0pJBeB;0;;;
202;@Deliciest joder, sí que teneis ganas de beber algo en ese bus;0;;;
203;HOY: Servicios especiales de bus para ir a Armentia #vitoriagasteiz https://t.co/T9bbqVmfBH https://t.co/UkTty0dWMk;0;;;
204;@Defoko_Utane Siempre puedes coger un bus a Bilbao y me acerco(?);0;;;
205;¡CASTIGADOS! James y Bourousis en bus desde Estambul a Atenas https://t.co/URVkGqXQy6 https://t.co/vitf8336OM;0;;;
206;Espero que el castigo consista en bus para lo que resta de temporada xD https://t.co/b43PqEyMro;0;;;
207;Un turismo y un bus chocan en América Latina https://t.co/ZtkEvQ0TYN;0;;;
208;Choque entre un coche y un bus en América Latina https://t.co/prtq5uKjJv;0;;;
209;Desde el bus he llamado a la poli y he dicho la zona, espero que hayan ido rápido!;;;;
Estoy intranquila;" mañana llamaré a ver si me dicen algo<ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>""";0;;;
210;@HighLordIron Pues yo sin coche no podría ir a currar... como mucho bus pero no deja cerca.;0;;;
211;@GTxuskalen @iniaram I know.. pero por soñar que no sea!  Que aquí a Mike no se le hizo volver en Bus!;0;;;
212;@A3Noticias A los 5 meses de embarazo nos dijeron el sexo de mi hija, y se basaban en lo que dice el bus, simple y basico guste o no;0;;;
213;@A3Noticias Entonces se deben cambiar todos los conocimientos basicos de la biologia no? Porque en ese bus pone lo… https://t.co/PN3bw59sPy;0;;;
214;De Turquía a Grecia en bus. Hay que querer al dueño del Pao. Troll de trolles;0;;;
215;Así luce el nuevo bus 'green' de Vitoria https://t.co/31BSGnBYyz;0;;;
216;Así luce el nuevo bus 'green' de Tuvisa https://t.co/31BSGnBYyz;0;;;
217;El conductor del bus conduce bien de mal;0;;;
218;Bus a Foronda por 3 euros, solo para los viajes de Ryainair.;0;;;
219;Yo quería leer en el bus...;0;;;
220;Bua me muero de calor en el bus;0;;;
